"","date.Season.S.bernardi.Cyclarhis.juganensis.Polioptila.plumbea.Mimus.longicaudatus.Pyrocephalus.rubinus.Camptosotoma.obsoletum.Glaucidium.peruanum.Lepidocolaptes.souleyetii.Stittasomus.griseicapillus.Amazilia.amazilia.Columbia.cruziana.Crypturellus.transfasciatus.Cacicus.cela.Icterus.graceannae.Dives.warszewiczi.Crotophaga.sulcirostris.Cyanocorax.mystacalis.Campylorhynchus.fasciatus.Furnarius.cinnamomeus.Geranospiza.caerulescens.Sicalis.flaveola.Micrastur.ruficollis.Momotus.momota.Troglodytes.aedon.Progne.chalybea.Forpus.coelestis.Thryothorus.superciliaris.Parula.pitiayumi.Polioptila.plumbea.Basileuterus.fraseri.Cathartes.aura.Chondrohierax.unciatus.Campephilus.gayaquilensis.Myiopagis.subplacens.Dendrocygna.autummalis.Rhodospingus.cruentus.Trogon.mesurus.Coragyps.atratus.Myiarchus.tuberculifer.Icterus.graceannae.Leptotila.verreauxi.Troglodytes.aedon.Tyrannus.niveigularis.Myiodynastes.maculatus.Veniliornis.callonotus.Picumnus.olivaceus.Claravis.pretiosa.Zenaida.meloda.Colibri.coruscans.Dryocopus.lineatus.Sporophila.corvina.Myiodinastes.maculatus.Myiodinastes.bairdii.Turdus.reevi.Synallaxis.stictothorax.Thraupis.episcopus.Platypsaris.homochrous.Herpetotheres.cachinnans.Campylorhamphus.trochilirostris.Columba.subvinacea.Icterus.mesomelas.Parabuteo.unicintus.Picumnus.sclateri.Thamnophilus.zarumae.Xenops.minutus.Aratinga.erythrogenys"
"11","Mar 2011;rainy;2;0;0;3;1;3;1;0;0;0;2;0;5;0;3;1;1;0;1;0;0;0;0;2;0;2;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
"12","Mar 2011;rainy;0;0;0;1;2;0;1;0;0;1;0;0;1;0;0;0;0;3;3;0;1;0;0;0;2;3;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;0;0;0"
"13","Apr 2011;rainy;3;0;0;3;2;0;1;0;0;2;0;0;2;0;2;5;2;2;5;1;3;0;0;0;0;8;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;2;0;0;1;3;0;3;0;0;0;0;0;0;0;0;0;0"
"14","Apr 2011;rainy;0;0;0;1;1;2;1;2;2;0;0;0;0;0;0;0;3;0;1;0;2;0;1;0;0;0;0;0;0;0;2;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0"
"15","Apr 2011;rainy;0;0;0;1;1;3;0;0;0;2;0;0;0;0;3;6;3;1;0;0;2;0;1;0;0;4;0;0;0;0;1;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0"
"16","Jul 2011;dry;5;0;0;4;1;2;0;2;1;3;0;0;0;1;0;0;5;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;1;4;1;5;0"
"17","Jul 2011;dry;4;0;0;1;2;2;0;4;0;0;0;0;0;4;1;0;3;0;2;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;3;2;0;0"
"18","Jul 2011;dry;4;0;0;2;1;3;0;0;1;4;0;0;0;0;1;0;5;0;4;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;1;0"
"19","Aug 2011;dry;0;0;0;2;1;0;0;0;0;1;0;1;0;1;0;0;9;9;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0"
"20","Aug 2011;dry;1;0;0;0;1;1;0;0;2;3;0;3;0;0;0;0;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
"21","Aug 2011;dry;0;0;0;1;2;0;0;1;0;0;0;0;0;3;2;0;6;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
"22","Sep 2011;dry;2;0;0;0;1;0;0;2;0;2;0;0;0;1;0;0;4;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;1"
"23","Sep 2011;dry;1;0;0;2;4;1;0;3;0;0;0;0;0;1;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3"
"24","Sep 2011;dry;5;0;0;0;0;0;0;3;0;1;0;0;0;1;1;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1"
"25","Oct 2011;dry;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;5;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0"
"26","Oct 2011;dry;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
"27","Oct 2011;dry;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
